task,task_label,model,dataset,n,mean_rubric,sd_rubric,mean_recorded,success_count,success_rate,success_ci_low,success_ci_high,in_time_count,in_time_rate,in_time_ci_low,in_time_ci_high,consecutive_count,consecutive_rate,consecutive_ci_low,consecutive_ci_high
task1,Pick and Place,ACT,50,5,7.2,4.381780460041329,7.2,4,0.8,0.3755346296812303,0.9637758913796723,4,0.8,0.3755346296812303,0.9637758913796723,3,0.6,0.23072428122047123,0.8823792257998295
task1,Pick and Place,ACT,100,5,6.8,1.7888543819998317,6.8,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,1,0.2,0.036224108620327655,0.6244653703187697
task1,Pick and Place,ACT,200,5,8.4,2.1908902300206643,8.4,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,3,0.6,0.23072428122047123,0.8823792257998295
task1,Pick and Place,Pi0,50,5,9.2,1.7888543819998317,9.2,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,4,0.8,0.3755346296812303,0.9637758913796723
task1,Pick and Place,Pi0,100,5,7.6,2.1908902300206643,7.6,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,2,0.4,0.11762077420017036,0.7692757187795287
task1,Pick and Place,Pi0,200,5,3.6,3.286335345030997,3.6,3,0.6,0.23072428122047123,0.8823792257998295,3,0.6,0.23072428122047123,0.8823792257998295,0,0.0,0.0,0.4344824648984954
task1,Pick and Place,Pi0.5,50,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task1,Pick and Place,Pi0.5,100,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task1,Pick and Place,Pi0.5,200,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,ACT,50,5,1.6,2.1908902300206643,1.6,2,0.4,0.11762077420017036,0.7692757187795287,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,ACT,100,5,0.8,1.7888543819998317,0.8,1,0.2,0.036224108620327655,0.6244653703187697,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,ACT,200,5,6.4,4.09878030638384,6.4,4,0.8,0.3755346296812303,0.9637758913796723,4,0.8,0.3755346296812303,0.9637758913796723,2,0.4,0.11762077420017036,0.7692757187795287
task2,Pouring,Pi0,50,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,Pi0,100,5,1.6,2.1908902300206643,1.6,2,0.4,0.11762077420017036,0.7692757187795287,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,Pi0,200,5,5.2,3.63318042491699,5.6,4,0.8,0.3755346296812303,0.9637758913796723,3,0.6,0.23072428122047123,0.8823792257998295,1,0.2,0.036224108620327655,0.6244653703187697
task2,Pouring,Pi0.5,50,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,Pi0.5,100,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task2,Pouring,Pi0.5,200,5,1.6,2.1908902300206643,1.6,2,0.4,0.11762077420017036,0.7692757187795287,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task3,Valve,ACT,50,5,9.2,1.7888543819998317,9.2,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,4,0.8,0.3755346296812303,0.9637758913796723
task3,Valve,ACT,100,5,9.2,1.7888543819998317,9.2,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,4,0.8,0.3755346296812303,0.9637758913796723
task3,Valve,ACT,200,5,10.0,0.0,10.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0
task3,Valve,Pi0,50,5,7.2,4.381780460041329,7.2,4,0.8,0.3755346296812303,0.9637758913796723,4,0.8,0.3755346296812303,0.9637758913796723,3,0.6,0.23072428122047123,0.8823792257998295
task3,Valve,Pi0,100,5,6.4,4.09878030638384,6.4,4,0.8,0.3755346296812303,0.9637758913796723,4,0.8,0.3755346296812303,0.9637758913796723,2,0.4,0.11762077420017036,0.7692757187795287
task3,Valve,Pi0,200,5,10.0,0.0,10.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0
task3,Valve,Pi0.5,50,5,0.0,0.0,0.0,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954,0,0.0,0.0,0.4344824648984954
task3,Valve,Pi0.5,100,5,3.2,4.604345773288535,4.0,2,0.4,0.11762077420017036,0.7692757187795287,2,0.4,0.11762077420017036,0.7692757187795287,1,0.2,0.036224108620327655,0.6244653703187697
task3,Valve,Pi0.5,200,5,10.0,0.0,10.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0,5,1.0,0.5655175351015047,1.0
