video,task,model,dataset_size,kind,truncated,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_pi0_100.webm,task1,pi0,100,rollout,,1,1,1,136.0,167.25,31.25,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,1,2,2,318.0,356.25,38.25,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,2,1,3,508.25,531.0,22.75,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,2,2,4,678.0,707.5,29.5,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,3,1,5,857.0,883.75,26.75,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,3,2,6,1033.25,1078.0,44.75,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,4,1,7,1218.5,1360.25,141.75,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,4,2,8,1503.25,1526.25,23.0,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,5,1,9,1686.5,1739.75,53.25,,,
task1_pi0_100.webm,task1,pi0,100,rollout,,5,2,10,1879.25,1904.0,24.75,,,
