video,task,model,dataset_size,kind,truncated,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_act_100.webm,task2,act,100,rollout,,1,1,1,45.75,153.75,108.0,,,
task2_act_100.webm,task2,act,100,rollout,,1,2,2,249.5,374.0,124.5,,,
task2_act_100.webm,task2,act,100,quick_return,,2,1,3,442.75,452.75,10.0,,,
task2_act_100.webm,task2,act,100,rollout,,2,2,4,468.25,532.0,63.75,,,
task2_act_100.webm,task2,act,100,quick_return,,3,1,5,586.5,597.0,10.5,,,
task2_act_100.webm,task2,act,100,quick_return,,3,2,6,674.5,686.0,11.5,,,
task2_act_100.webm,task2,act,100,quick_return,,4,1,7,737.5,746.25,8.75,,,
task2_act_100.webm,task2,act,100,quick_return,,4,2,8,826.25,837.25,11.0,,,
task2_act_100.webm,task2,act,100,rollout,,5,1,9,888.25,977.25,89.0,,,
task2_act_100.webm,task2,act,100,rollout,,5,2,10,1022.75,1090.25,67.5,,,
task2_act_100.webm,task2,act,100,quick_return,,6,1,11,1137.0,1145.0,8.0,,,
