video,task,model,dataset_size,kind,truncated,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_act_100.webm,task2,act,100,rollout,,1,1,1,45.75,153.75,108.0,FALSE,병을 집기만 함,그리퍼가 소스 병을 잡은 채 약 100초간 제자리에 머묾. 옮기지 못하고 작업자 개입으로 종료.
task2_act_100.webm,task2,act,100,rollout,,1,2,2,249.5,374.0,124.5,FALSE,병을 반납 못함,4:25경 병을 집어 대상 병 위 기울인 자세까지 이동. 이후 약 70초 정체하다 작업자가 병을 회수. 알약이 실제로 옮겨졌는지는 이 해상도로 확인 불가.
task2_act_100.webm,task2,act,100,quick_return,,2,1,3,442.75,452.75,10.0,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
task2_act_100.webm,task2,act,100,rollout,,2,2,4,468.25,532.0,63.75,FALSE,아예 못 집음,그리퍼가 소스 병 위로 내려왔으나 끝내 집지 못하고 정체. 작업자 개입으로 종료.
task2_act_100.webm,task2,act,100,quick_return,,3,1,5,586.5,597.0,10.5,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
task2_act_100.webm,task2,act,100,quick_return,,3,2,6,674.5,686.0,11.5,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
task2_act_100.webm,task2,act,100,quick_return,,4,1,7,737.5,746.25,8.75,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
task2_act_100.webm,task2,act,100,quick_return,,4,2,8,826.25,837.25,11.0,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
task2_act_100.webm,task2,act,100,rollout,,5,1,9,888.25,977.25,89.0,FALSE,아예 못 집음,그리퍼가 소스 병 위에서 약 60초간 정체. 병은 끝까지 움직이지 않음.
task2_act_100.webm,task2,act,100,rollout,,5,2,10,1022.75,1090.25,67.5,FALSE,아예 못 집음,그리퍼가 소스 병 위에서 정체. 병을 집지 못한 채 작업자 개입으로 종료.
task2_act_100.webm,task2,act,100,quick_return,,6,1,11,1137.0,1145.0,8.0,FALSE,갑자기 원점으로 돌아감,홈에서 병 쪽으로 내려오다 파지 없이 곧바로 원점 복귀.
