video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_act_50.webm,task2,act,50,rollout,1,1,1,51.75,128.25,76.5,,,
task2_act_50.webm,task2,act,50,rollout,1,2,2,174.25,225.5,51.25,,,
task2_act_50.webm,task2,act,50,quick_return,2,1,3,237.5,244.75,7.25,,,
task2_act_50.webm,task2,act,50,rollout,2,2,4,288.75,353.25,64.5,,,
task2_act_50.webm,task2,act,50,rollout,3,1,5,395.5,562.75,167.25,,,
task2_act_50.webm,task2,act,50,rollout,3,2,6,603.5,756.5,153.0,,,
task2_act_50.webm,task2,act,50,rollout,4,1,7,799.0,889.0,90.0,,,
task2_act_50.webm,task2,act,50,quick_return,4,2,8,936.0,947.75,11.75,,,
task2_act_50.webm,task2,act,50,rollout,5,1,9,1005.75,1061.75,56.0,,,
task2_act_50.webm,task2,act,50,quick_return,5,2,10,1106.0,1119.25,13.25,,,
task2_act_50.webm,task2,act,50,rollout,6,1,11,1166.25,1236.75,70.5,,,
