video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_pi0_50.webm,task2,pi0,50,rollout,1,1,1,0.25,175.0,174.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,1,2,2,261.0,324.0,63.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,2,1,3,362.75,431.75,69.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,2,2,4,526.0,589.75,63.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,3,1,5,768.25,829.0,60.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,3,2,6,830.0,897.75,67.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,4,1,7,958.25,1026.75,68.5,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,4,2,8,1038.25,1241.25,203.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,5,1,9,1325.5,1382.25,56.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,5,2,10,1471.25,1534.5,63.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_50.webm,task2,pi0,50,rollout,6,1,11,1535.75,1562.25,26.5,,,판정 보류 -- 사람 확인 필요
