video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_pi0_100.webm,task3,pi0,100,rollout,1,1,1,31.25,58.5,27.25,,,
task3_pi0_100.webm,task3,pi0,100,rollout,1,2,2,232.5,257.5,25.0,,,
task3_pi0_100.webm,task3,pi0,100,rollout,2,1,3,416.25,442.5,26.25,,,
task3_pi0_100.webm,task3,pi0,100,rollout,2,2,4,596.5,662.5,66.0,,,
task3_pi0_100.webm,task3,pi0,100,rollout,3,1,5,809.25,836.75,27.5,,,
task3_pi0_100.webm,task3,pi0,100,rollout,3,2,6,846.75,868.0,21.25,,,
task3_pi0_100.webm,task3,pi0,100,rollout,4,1,7,1011.5,1037.25,25.75,,,
task3_pi0_100.webm,task3,pi0,100,rollout,4,2,8,1200.25,1310.5,110.25,,,
task3_pi0_100.webm,task3,pi0,100,rollout,5,1,9,1459.0,1551.75,92.75,,,
task3_pi0_100.webm,task3,pi0,100,rollout,5,2,10,1698.0,1722.25,24.25,,,
task3_pi0_100.webm,task3,pi0,100,rollout,6,1,11,1882.5,2005.0,122.5,,,
